ds,yhat,yhat_lower,yhat_upper,actual,trend,weekly,yearly
2025-04-08,238.1181594315399,229.81646877303393,245.8612775536058,232.53478620022202,215.6506544394962,-0.20434993825221864,7.061570222588816
2025-04-09,240.32534356674194,233.61011065541805,247.3884481737989,232.99628499856573,215.76579455820243,0.5756482043058555,8.456270731950326
2025-04-10,241.1570783941559,233.87810543640825,248.76434818634226,236.3992630523658,215.88093467690862,0.08523343475039048,9.737871343801235
2025-04-11,242.35415148502204,234.8211892894878,249.74203748117912,242.78945714475896,215.99607479561485,0.08771740420288769,10.885349800058107
2025-04-12,243.03644969960627,235.23711321316907,250.57375962262822,242.23218064341714,216.11121491432104,-0.27799141165088825,11.881309844659057
2025-04-13,243.8771781799051,236.45510888911264,251.6819547413397,241.7128925018393,216.2263550330272,-0.3234749086893779,12.712273034412648
2025-04-14,244.97108384781617,237.53535844802164,252.03192829965835,247.93450533599744,216.34149515173343,0.057217215333738185,13.36886444613176
2025-04-15,245.2426308563991,237.47121500419303,254.01139074931453,251.41981156292098,216.45663527043965,-0.20434993825160053,13.845889582859781
2025-04-16,246.3726302027681,238.42484706974471,253.82755062562015,250.985619497034,216.57177538914584,0.5756482043048504,14.14230277241325
2025-04-17,246.05005760805284,239.2984137304867,253.62739734434297,253.46377499056283,216.68691550785204,0.08523343474937524,14.261070293758241
2025-04-18,246.0429274027127,239.04142116031954,253.3652398673856,252.47907424276494,216.80205562655826,0.08771740420224769,14.208934279005488
2025-04-19,245.49829036273613,237.38871555686526,252.65606420844182,251.5406091488477,216.91719574526448,-0.2779914116485944,13.996086043818604
2025-04-20,245.1157578550098,238.22150500996332,252.7898855553571,253.3328870243365,217.03233586397067,-0.32347490868971873,13.63575982599363
2025-04-21,245.0150689458748,238.08114729803663,252.63292460739933,246.98899928836155,217.14747587936472,0.05721721533282488,13.143759898881319
2025-04-22,244.14366568090443,236.2722915843386,251.22377489530052,241.35058829492837,217.26261589475882,-0.204349938252615,12.537935621247241
2025-04-23,244.20279313482155,237.23285598293944,251.5475972613387,239.15152708829288,217.37775591015293,0.5756482043052253,11.83762014804869
2025-04-24,242.8988725616058,235.53673482405276,250.45806309752095,236.81300366994043,217.49289592554697,0.08523343474945191,11.063049229883196
2025-04-25,242.01402548261936,234.9034572938312,248.87068372077476,238.38573155608995,217.60803594094108,0.0877174042016077,10.234776758618466
2025-04-26,240.70582453516485,233.22639183311057,248.17000783055016,236.19612873758726,217.72317595633518,-0.2779914116501129,9.373103472187935
2025-04-27,239.6806781880552,232.56659645119893,247.34306096286423,232.3093927935715,217.83831597172926,-0.3234749086904029,8.497534526301164
2025-04-28,239.06136770926878,232.21730857779798,246.47265383795718,238.33823701733075,217.95345598712333,0.057217215331911535,7.62628050041419
2025-04-29,237.79469957980695,230.31682009279078,245.97490669449536,238.34908644933392,218.0685960025174,-0.20434993825254139,6.77581486863521
2025-04-30,237.5777864473883,230.10911286197205,245.0122771615198,239.37096779903987,218.1837360179115,0.5756482043049925,5.960499081833718
2025-05-01,236.10969650841201,228.17931171166012,243.16677466168233,234.54982994026875,218.29887603330562,0.08523343474952862,5.192284234357673
2025-05-02,235.1623396398811,227.78421345564016,241.91887608453092,233.71974646432344,218.41401604440844,0.08771740420263163,4.480495893144779
2025-05-03,233.88065369706464,226.5161501198217,241.45891378219014,235.11471145628963,218.5291560555113,-0.2779914116475643,3.8317061208052183
2025-05-04,232.95648380433394,224.76439252159085,240.30340533136376,232.19699930950017,218.64429606661412,-0.32347490868897266,3.249694102867158
2025-05-05,232.49665735563642,225.28081916987404,240.1017447810519,234.36345239527998,218.75943607771697,0.05721721533228333,2.7354941693402504
2025-05-06,231.43120118346727,223.68955355201345,238.38664604543865,233.7882134461955,218.87457608881977,-0.20434993825246783,2.2875274580696074
2025-05-07,231.44019677526686,223.5157449288463,239.23578331875217,233.1582747989834,218.98971609992262,0.5756482043053673,1.9018110743967753
2025-05-08,230.2059962068666,223.11578215827436,237.7469499493564,230.99855871621418,219.10485611102544,0.08523343475055188,1.5722364263385409
2025-05-09,237.8047144089976,230.84892216780486,244.53094365848455,237.76842141745317,219.2199961221283,0.08771740420365552,1.2909065167022424
2025-05-10,237.78723373596276,230.23842010420702,245.35333065504867,237.73754443846872,219.33513613323112,-0.2779914116490828,1.0485204052756945
2025-05-11,234.15278226710012,226.120899456574,241.7767166828527,234.10149982365047,219.4502761443339,-0.3234749086910845,0.8347918569793585
2025-05-12,236.69776506324922,230.07002195174886,244.69286566900877,236.6465940844755,219.56541615543676,0.05721721533265506,0.6388883952897672
2025-05-13,232.79399113217417,225.5351817824919,240.59320824640878,232.743896683649,219.68055616653956,-0.20434993825184958,0.4498766032517303
2025-05-14,232.94644255492167,225.39471706077765,239.89202866994032,232.89915660043343,219.79569617160206,0.5756482043054385,0.25715956193978756
2025-05-15,225.0524810050129,217.62414193508144,232.2033504591538,226.57594023358968,219.9108361766645,0.08523343474953664,0.05089278214185758
2025-05-16,224.21927730481355,216.52515631489172,231.00557377345154,221.75990441368432,220.02597618172695,0.08771740420301552,-0.1776341501052717
2025-05-17,222.97160358508486,215.33843909259963,230.17580328723605,222.159672487571,220.14111618678942,-0.27799141164869523,-0.4356617597529937
2025-05-18,221.99448821047005,214.4975763625083,229.64607975065942,224.18871762592795,220.25625619185186,-0.32347490868965423,-0.7286806847378046
2025-05-19,221.39256273820405,214.43832544962228,230.3439597088829,224.36452433991192,220.3713961969143,0.05721721533259052,-1.0602156383562409
2025-05-20,220.09827530013098,212.445277811793,227.36225864966224,223.84146671951333,220.4865362019768,-0.20434993825340866,-1.431679416871306
2025-05-21,219.79859145502726,213.11906388105217,227.92267647885427,222.49513798249126,220.60167620703925,0.5756482043058133,-1.8423008207727778
2025-05-22,218.18691206953838,210.69439150815927,224.98123499398312,217.0034066946513,220.7168162121017,0.0852334347507053,-2.289128052253327
2025-05-23,217.034070940057,209.94290821247526,224.4318045539904,214.62888779563406,220.83195621716416,0.0877174042023755,-2.7671068254510174
2025-05-24,215.4884747524625,208.84919942755675,222.66185602017737,212.359376490102,220.9470962222266,-0.27799141164805274,-3.2692301489807996
2025-05-25,214.24978222700574,207.4042903998997,221.67383079369935,214.71598921648282,221.06223622728905,-0.32347490868999507,-3.7867545791134396
2025-05-26,213.43663369110456,206.4813861433392,220.86673402261306,214.90211909836202,221.17737623163367,0.05721721533167727,-4.309475759377972
2025-05-27,211.99439041245375,204.103411169535,219.48676213937722,208.52203068331195,221.2925162359783,-0.2043499382527905,-4.826054315378583
2025-05-28,211.62139625173398,203.78871102877736,218.9577036829817,208.71640185623875,221.40765624032292,0.5756482043058844,-5.324381711176741
2025-05-29,210.02050430254099,203.4848571171667,218.10027261031027,206.9939573220085,221.52279624466755,0.08523343474969002,-5.791974536457853
2025-05-30,208.96974277853758,201.68122392428697,216.83148965860667,204.00672111629342,221.63793624901217,0.08771740420151036,-6.21638491164964
2025-05-31,207.62219241948375,199.47272995222707,215.59221153373227,205.37594362434965,221.7530762533568,-0.2779914116476651,-6.585614291480184
2025-06-01,206.6794797937433,198.91668055566083,214.41928882967454,208.06688316882756,221.86821625770142,-0.32347490868856493,-6.88851792322223
2025-06-02,206.25940292525735,197.99584884972455,213.47575425638226,210.53586029003975,221.98335626204604,0.05721721533333398,-7.115187572190985
2025-06-03,205.3036512834357,197.38554847147458,212.5407380463592,207.17693077510927,222.0984962663906,-0.2043499382532614,-7.257300848480947
2025-06-04,205.50413288113862,198.05826864674881,213.83776343527956,205.87005743965264,222.21363627073524,0.5756482043051832,-7.308426530914119
2025-06-05,204.5546488089695,197.33901027235774,212.41119841141608,206.21436943356613,222.3287762750799,0.08523343474976676,-7.264276651807829
2025-06-06,204.22178471229063,197.32995621608492,211.3528461471695,208.5552698341485,222.44391627204624,0.08771740420253424,-7.122897735852215
2025-06-07,203.64508451581636,195.46866509582307,210.8059802342332,206.66836208585786,222.55905626901256,-0.2779914116491836,-6.884795427326917
2025-06-08,203.5109016714902,196.05456722325533,210.9544453622355,205.7460303308853,222.67419626597888,-0.32347490868890566,-6.552988735582797
2025-06-09,203.92043366502435,197.45425145852664,211.0423988128508,202.0061776234246,222.78933626294523,0.05721721533242071,-6.132992218559572
2025-06-10,203.79788961186506,196.42220020674958,211.5256938137374,197.97218807755846,222.90447625991155,-0.20434993825264328,-5.632726545728759
2025-06-11,204.81729049238658,197.26477437480222,212.6943437633943,200.15365154701828,223.01961625687787,0.5756482043052543,-5.0623599718019
2025-06-12,204.65462851852482,196.93977360980915,211.970294139175,204.51500005877284,223.13475625384424,0.08523343474875149,-4.434085250291132
2025-06-13,205.05924108957043,197.6635154148482,211.95625873295126,204.49238918688653,223.24989625081056,0.08771740420189424,-3.7618383628554217
2025-06-14,205.15445074400776,197.9684070819553,212.58469202981465,207.34015461044808,223.36503624777689,-0.27799141164688973,-3.060967084168735
2025-06-15,205.61185319554994,198.09583202068572,212.385409556498,208.24219081623104,223.48017624474323,-0.32347490868958984,-2.3478587962993087
2025-06-16,206.51974683614512,199.6446129777553,213.82646888476353,205.9894534043383,223.59531624170955,0.057217215333641255,-1.6395380729423354
2025-06-17,206.79164262622365,198.8674226273573,214.53376438132807,206.93955490858002,223.71045623867587,-0.2043499382520251,-0.9532453433811873
2025-06-18,208.0933445732172,200.7505012646374,215.19250401022634,211.71883518683399,223.82559620396344,0.5756482043056292,-0.3060083986972198
2025-06-19,208.09532003073838,200.26375579044176,215.6728588738158,211.44289859271362,223.94073616925104,0.08523343474882816,0.2857813905218033
2025-06-20,208.54420962781506,201.12521451522383,215.75825571532064,216.33212238405193,224.0558761345386,0.08771740420435677,0.8067765140899281
